Key,Stop Name,Latitude,Longitude
289,More Vidyalay,18.5099737,73.8211852
290,Paud Phata,18.5068339,73.8239558
291,SNDT College,18.5073336,73.8284735
292,Nal Stop,18.50914,73.8320346
293,Sonal Hall,18.5105959,73.8348802
294,Garware College,18.5124025,73.8385772
295,Deccan Corner,18.5135108,73.8409899
296,Sahitya Parishad,18.5109013,73.8456889
297,Maharashtra Mandal,18.5096179,73.8474749
298,SP College,18.5071824,73.851614
299,Madiwale Colony,18.5062157,73.8526495
300,Hirabaug,18.5044603,73.8549321
301,Sarasbaug,18.5019109,73.8577475
302,Swargate,18.4988446,73.8584724
303,Lakshminarayan,18.4968945,73.8582146
304,ST Colony,18.4930099,73.8579546
305,Bhapkar Petrol Pump,18.4897888,73.8576641
306,Natubaug,18.4818231,73.8573235
307,Padmawati,18.4750253,73.8563206
308,Shankar Maharaj Math,18.4716294,73.8569657
309,Balajinagar,18.4645365,73.8582333
310,Bharati Vidyapeeth Gate,18.4568294,73.8585408
311,Sarpodyan,18.4539777,73.8585923
312,Morebaug,18.4492,73.8583
313,Katraj,18.4462867,73.8590852
314,Katraj,18.4467737,73.8586478
315,Morebaug,18.4491912,73.8582938
316,Sarpodyan,18.4538526,73.8584836
317,Bharati Vidyapeeth Gate,18.4576155,73.858154
318,Balajinagar,18.4637599,73.8579938
319,Shankar Maharaj Math,18.471604,73.856794
320,Padmawati,18.4759065,73.8562654
321,Natubaug,18.4809846,73.8571507
322,Aranyeshwar Corner,18.4864819,73.8575074
323,Bhapkar Petrol Pump,18.488666,73.8573886
324,ST Colony,18.491725,73.857663
325,Lakshminarayan,18.4957346,73.8579511
326,Swargate,18.4993961,73.8581842
327,Nehru Stadium,18.5009654,73.8565362
328,Sarasbaug,18.5033599,73.8536634
329,Madiwale Colony,18.5058367,73.8529513
330,SP College,18.5073328,73.8508901
331,Maharashtra Mandal,18.5095291,73.8475316
332,Sahitya Parishad,18.5111136,73.8454538
333,Deccan Corner,18.5132751,73.8410446
334,Garware College,18.5120696,73.8383249
335,Sonal Hall,18.5104522,73.8349594
336,Nal Stop,18.5088822,73.8319139
337,SNDT College,18.5073551,73.8289474
338,Paud Phata,18.5072281,73.8233441
339,More Vidyalay,18.5104224,73.8195792
340,Ideal Colony,18.510144,73.8169396
341,Anandnagar Kothrud,18.5095115,73.8142361
